category,title,published,author and source,content,excerpt,read more text,read more link
Article,DineAmic Group Opening Fulton Market Restaurant,"March 29, 2019","By Ari Bendersky, Crain's Chicago Business","The team behind Siena Tavern, Bar Siena and Prime &amp; Provisions is opening a ""refined dive bar"" in the Randolph Street spot that was once Graham Elliot's Gideon Sweet located in Newcastle's Gin Alley.","The team behind Siena Tavern, Bar Siena and Prime &amp; Provisions is opening a ""refined dive bar"" in the Randolph Street spot that was once Graham Elliot's Gideon Sweet located in Newcastle's Gin Alley.",Read the full article here.,https://www.chicagobusiness.com/restaurants/dineamic-group-opening-fulton-market-restaurant
Article,Rumble Selects Gold Coast Neighborhood for its First Chicago Location,"March 5, 2019","By Kristen Hiller, REBusiness Online","Rumble, a boxing-inspired workout concept, has selected its first Chicago location at 1139 N. State St. in the Gold Coast neighborhood. ","Rumble, a boxing-inspired workout concept, has selected its first Chicago location at 1139 N. State St. in the Gold Coast neighborhood. ",Read the full article here.,http://rebusinessonline.com/rumble-selects-gold-coast-neighborhood-for-its-first-chicago-location/
Article,Newcastle Pays $86M for Chicago Property,"March 1, 2019","By Jeffrey Steele, Multi-Housing News",Newcastle Limited has acquired a two-building apartment community in Chicago’s fast-emerging River West neighborhood.,Newcastle Limited has acquired a two-building apartment community in Chicago’s fast-emerging River West neighborhood.,Read the full article here.,https://www.multihousingnews.com/post/newcastle-pays-86m-for-chicago-property/?utm_source=whatcountsemail&utm_medium=daily%20news&utm_campaign=daily
Article,Brendan Sodikoff Opening Supper Club in Fulton Market,"February 4, 2019","By Ari Bendersky, Crain's Chicago Business","Hogsalt Hospitality owner, Brendan Sodikoff, speaks with Crain's about his plan for a Midwest-inspired supper club at Newcastle's Gin Alley. The as-yet-unnamed restaurant will join Green Street Smoked Meats and RM Champagne Salon in the cobblestone alley. The restaurant is scheduled to open midsummer 2019.","Hogsalt Hospitality owner, Brendan Sodikoff, speaks with Crain's about his plan for a Midwest-inspired supper club at Newcastle's Gin Alley. The as-yet-unnamed restaurant will join Green Street Smoked Meats and RM Champagne Salon in the cobblestone alley. The restaurant is scheduled to open midsummer 2019.",Read the full article here.,https://www.chicagobusiness.com/restaurants/brendan-sodikoff-opening-supper-club-fulton-market
Article,Newcastle Acquires Chicago Multifamily Asset,"December 18, 2018","By Roxana Baiceanu, Multi-Housing News",MHN covers Newcastle's latest mixed-use acquisition in Chicago's Logan Square neighborhood.,MHN covers Newcastle's latest mixed-use acquisition in Chicago's Logan Square neighborhood.,Read the full article here.,https://www.multihousingnews.com/post/newcastle-acquires-chicago-multifamily-asset/
Article,New retail ready to rise at State and Elm in the Gold Coast,"October 25, 2018","By Jay Koziarz, Curbed Chicago",Curbed Chicago announces Newcastle's permit approval for the new retail development at 1139 N. State St. in Chicago's Gold Coast neighborhood.,Curbed Chicago announces Newcastle's permit approval for the new retail development at 1139 N. State St. in Chicago's Gold Coast neighborhood.,Read the full article here.,https://chicago.curbed.com/2018/10/25/18000000/construction-gold-coast-retail-state-and-elm
Article,Andersonville Now Has a New Coffee Shop From an Acclaimed Milwaukee Roaster,"September 24, 2018","By Ashok Selvam, Chicago Eater","Chicago Eater announces the opening of Colectivo Coffee at Newcastle's asset, 5425 N. Clark St. in Andersonville.","Chicago Eater announces the opening of Colectivo Coffee at Newcastle's asset, 5425 N. Clark St. in Andersonville.",Read the full article here.,https://chicago.eater.com/2018/9/24/17896534/colectivo-coffee-andersonville-cafe-open
Article,Newcastle Limited buys Near North Side commercial building for $10M,"August 15, 2018","By John O'Brien, The Real Deal Chicago Real Estate News",The Real Deal covers the announcement of Newcastle's latest commercial acquisition at State and Division.,The Real Deal covers the announcement of Newcastle's latest commercial acquisition at State and Division.,Read the full article here.,https://therealdeal.com/chicago/2018/08/14/newcastle-limited-buys-near-north-side-commercial-building-for-10m/
Article,Newcastle Nabs Retail Space at Two West Delaware Tower,"June 13, 2018","By Laura Hanrahan, The Real Deal Chicago Real Estate News","The Real Deal announces Newcastle's latest acquisitions including retail space at 2 W Delaware, a two-story retail property at 2368 N Clark and a 73-unit apartment building at 24 S Morgan.","The Real Deal announces Newcastle's latest acquisitions including retail space at 2 W Delaware, a two-story retail property at 2368 N Clark and a 73-unit apartment building at 24 S Morgan.",Read the full article here.,https://therealdeal.com/chicago/2018/06/13/newcastle-nabs-retail-space-at-two-west-delaware-tower/
Article,Greg Lozinak Joins Newcastle Limited as COO,"April 19, 2018",By Crain's Chicago Business,Crain's Chicago Business announces Greg Lozinak as Newcastle Limited's new COO.,Crain's Chicago Business announces Greg Lozinak as Newcastle Limited's new COO.,Read the full article here.,http://www.chicagobusiness.com/section/people-on-the-move/3502824
Article,West Loop apartment building sells for less than 2016 price,"November 21, 2017","By Danny Ecker, Crain's Chicago Business",Crain's Chicago Business reports on Newcastle's purchase of a high-rise in the West Loop.,Crain's Chicago Business reports on Newcastle's purchase of a high-rise in the West Loop.,Read the full article here.,http://www.chicagobusiness.com/realestate/20171121/CRED03/171129973/west-loop-apartment-building-sells-to-newcastle-for-less-than-it-did
Article,Amsterdam firm Spaces joins Chicago's growing co-working scene,"August 11, 2017","By Ryan Ori, Chicago Tribune",The Chicago Tribune featured Newcastle's lease to Spaces in its loft office building located in the Clybourn corridor.,The Chicago Tribune featured Newcastle's lease to Spaces in its loft office building located in the Clybourn corridor.,Read the full article here.,http://www.chicagotribune.com/business/columnists/ct-spaces-coworking-ryan-ori-0811-biz-20170810-column.html
Article,Yappy Hours' are now a thing. Rental buildings are ramping up pet perks,"July 12, 2017","By Alison Bowen, Chicago Tribune","The Chicago Tribune featured Newcastle's luxury building, State &amp; Chestnut, for a piece on the best pet amenities in the city.","The Chicago Tribune featured Newcastle's luxury building, State &amp; Chestnut, for a piece on the best pet amenities in the city.",Read the full article here.,http://www.chicagotribune.com/classified/realestate/ct-re-0716-pet-amenities-20170712-story.html
Article,Newcastle buys apartments on Fullerton in Lincoln Park,"April 17, 2017",By Crain's Chicago Business,Crain's Chicago Business reports on Newcastle's purchase of a 48-unit apartment building in Lincoln Park.,Crain's Chicago Business reports on Newcastle's purchase of a 48-unit apartment building in Lincoln Park.,Read the full article here.,http://www.chicagobusiness.com/realestate/20170417/CRED03/170419887/family-sells-lincoln-park-apartments-after-100-years
Article,Fulton Market block poised to sell for $68 million,"November 23, 2016",By Crain's Chicago Business,Crain's Chicago Business reports on Newcastle's $68 million deal to buy a full block of Fulton Market District buildings.,Crain's Chicago Business reports on Newcastle's $68 million deal to buy a full block of Fulton Market District buildings.,Read the full article here.,http://www.chicagobusiness.com/realestate/20161123/CRED03/161129949/fulton-market-block-owned-by-gin-estate-poised-to-sell-to-newcastle
Article,People on the Move,"November 14, 2016",By Crain's Chicago Business,Crain's Chicago Business reports on Newcastle Limited's new Chief Financial Officer.,Crain's Chicago Business reports on Newcastle Limited's new Chief Financial Officer.,Read the full article here.,http://www.chicagobusiness.com/section/people-on-the-move/3431829
Article,Another upscale steakhouse is coming to River North,"June 17, 2016",By Crain's Chicago Business,Craiin's Chicago Business reports on Steak 48 moving into River North at 615 N. Wabash Ave.,Craiin's Chicago Business reports on Steak 48 moving into River North at 615 N. Wabash Ave.,Read the full article here.,http://www.chicagobusiness.com/article/20160617/BLOGS09/160619858/can-river-north-support-another-steakhouse-these-folks-hope-so
Article,Developer Forgoes High-Rise for Lucrative Low-Rise Retail in River North,"June 1, 2016","By Jay Koziarz, Curbed Chicago",Curbed Chicago reports on Newcastle Limited's deal with Steak 48 in River North.,Curbed Chicago reports on Newcastle Limited's deal with Steak 48 in River North.,Read the full article here.,http://chicago.curbed.com/2016/6/1/11826200/chicago-river-north-development-news-retail-wabash
Article,Apartment Hunt: State &amp; Chestnut at the middle of everything,"April 20, 2016","By Pamela Dittmer McKuen, Chicago Tribune","The Chicago Tribune reports on State &amp; Chestnut, Newcastle Limited's 367 unit apartment building in the Gold Coast.","The Chicago Tribune reports on State &amp; Chestnut, Newcastle Limited's 367 unit apartment building in the Gold Coast.",Read the full article here.,http://www.chicagotribune.com/classified/realestate/ct-apartment-hunt-state-chestnut-story.html
Article,"Newcastle lands loan, tenant for Lakeview project","October 7, 2014",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,"Crain's Chicago Business reports on Newcastle's retail development at 3301 N. Ashland Avenue in Lakeview, which has signed its first tenant, the Vitamin Shoppe.","Crain's Chicago Business reports on Newcastle's retail development at 3301 N. Ashland Avenue in Lakeview, which has signed its first tenant, the Vitamin Shoppe.",Read the full article here.,http://www.chicagobusiness.com/realestate/20141007/CRED03/141009851/rooftop-farm-coming-to-new-pullman-factory
Article,Newcastle pays $8 million for Clybourn Corridor building,"September 18, 2014","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Micah Maidenberg reports on Newcastle Limited's purchase of a four-story, 45,000 s.f. building at 1500 N. Halsted in the Clybourn Corridor retail district for $8 million.","Micah Maidenberg reports on Newcastle Limited's purchase of a four-story, 45,000 s.f. building at 1500 N. Halsted in the Clybourn Corridor retail district for $8 million.",Read the full article here.,http://www.chicagobusiness.com/realestate/20140918/CRED03/140919817/newcastle-pays-8-million-for-clybourn-corridor-building
Article,"Newcastle buying in River North, Clybourn Corridor","April 9, 2014","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Micah Maidenberg from Crain's Chicago reports on Newcastle's acquisition of a 8,900-square-foot parcel with an existing 15,469-square-foot commerical.","Micah Maidenberg from Crain's Chicago reports on Newcastle's acquisition of a 8,900-square-foot parcel with an existing 15,469-square-foot commerical.",Read the full article here.,http://www.chicagorealestatedaily.com/realestate/20140409/CRED03/140409723/newcastle-buying-in-river-north-clybourn-corridor
Article,Newcastle pays $19 million for Gold Coast retail and office space,"March 20, 2014","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Crain's Real Estate Daily covers Newcastle's acquisition of a 21,000-square-foot, two-story retail and office condominum space at the base of the Bristol in Chicago's Gold Coast neighborhood.","Crain's Real Estate Daily covers Newcastle's acquisition of a 21,000-square-foot, two-story retail and office condominum space at the base of the Bristol in Chicago's Gold Coast neighborhood.",Read the full article here.,http://www.chicagobusiness.com/realestate/20140320/CRED03/140319695/newcastle-pays-19-million-for-gold-coast-retail-and-office-space
Article,Newcastle pays $12.3 million for Old Town apartments,"January 23, 2014",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,Crain's Chicago Real Estate Daily reports on Newcastle's purchase of a 56-unit apartment building at 1700 N. North Park Avenue in Old Town.,Crain's Chicago Real Estate Daily reports on Newcastle's purchase of a 56-unit apartment building at 1700 N. North Park Avenue in Old Town.,Read the full article here.,http://www.chicagorealestatedaily.com/realestate/20140123/CRED03/140129860/newcastle-pays-12-3-million-for-old-town-apartments
Article,Newcastle able to triple debt on 2 apartment buildings,"October 14, 2013","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Crain's covers Newcastle's refinancing of two of its multifamily properties, 707 W. Sheridan in Lakeview and 532 W. Roscoe in Lincoln Park.  The new $26.9 milliion loan replaces the existing loan balance of $7.9 million.  ","Crain's covers Newcastle's refinancing of two of its multifamily properties, 707 W. Sheridan in Lakeview and 532 W. Roscoe in Lincoln Park.  The new $26.9 milliion loan replaces the existing loan balance of $7.9 million.  ",,
Article,Newcastle Limited closes on $79.5 million loan for Gold Coast apartment development,"September 26, 2013","By Kirk Meyer, Chicago Development News",Chicago Development News reports on Newcastle Limited's securing a $79.5 million construcion loan for the firm's Gold Coast apartment development at 845 N. State Street.  ,Chicago Development News reports on Newcastle Limited's securing a $79.5 million construcion loan for the firm's Gold Coast apartment development at 845 N. State Street.  ,,
Article,JPMorgan bankrolls Newcastle's Gold Coast apartment tower,"September 20, 2013","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Micah Maidenberg of Crain's Chicago Business reports on Newcastle's $79.5 million construction loan for the firm's 35-story, 367-unit apartment tower in Chicago's Gold Coast neighborhood.  JPMorgan Chase is the administrative agent, Fifth Third Bank is the syndication agent, and the Private Bank is a loan participant.  ","Micah Maidenberg of Crain's Chicago Business reports on Newcastle's $79.5 million construction loan for the firm's 35-story, 367-unit apartment tower in Chicago's Gold Coast neighborhood.  JPMorgan Chase is the administrative agent, Fifth Third Bank is the syndication agent, and the Private Bank is a loan participant.  ",,
Article,The Deal Sheet: Newcastle acquired property at State and Chestnut,"September 16, 2013","By Marissa Oberlander, Chicago Real Estate Bisnow",Chicago Bisnow reports on Newcastle Limited's acquisition of property at State and Chestnut for its new development project.  ,Chicago Bisnow reports on Newcastle Limited's acquisition of property at State and Chestnut for its new development project.  ,,
Article,Newcastle acquires Gold Coast parcel,"September 9, 2013",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,"Crain's Chicago reports on Newcastle's land acquisition at the corner of State and Chestnut streets for a new 35-story, 367-unit apartment tower in the Gold Coast neighborhood.","Crain's Chicago reports on Newcastle's land acquisition at the corner of State and Chestnut streets for a new 35-story, 367-unit apartment tower in the Gold Coast neighborhood.",Read the full article here.,http://www.chicagorealestatedaily.com/article/20130909/CRED03/130909845/ex-bookkeeper-for-fred-lev-gets-12-years
Article,Newcastle pays $16.2 million for Wicker Park retail portfolio,"August 28, 2013","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Micah Madienberg reports on Newcastle's latest acquisition of five retail properties in Chicago's Wicker Park neighborhood.  The 28,000-square-foot portfolio is made up of a freestanding, two-story building at 1455 N. Miwaukee Avenue and four retail condominiums at 1519 - 1529 N. Milwaukee Avenue, adding to the firm's existing Wicker Park/Bucktown portfolio.","Micah Madienberg reports on Newcastle's latest acquisition of five retail properties in Chicago's Wicker Park neighborhood.  The 28,000-square-foot portfolio is made up of a freestanding, two-story building at 1455 N. Miwaukee Avenue and four retail condominiums at 1519 - 1529 N. Milwaukee Avenue, adding to the firm's existing Wicker Park/Bucktown portfolio.",,
Article,The Deal Sheet: Kristen Martin joined Newcastle,"July 31, 2013","By Marissa Oberlander, Chicago Real Estate Bisnow",Chicago Real Estate Bisnow reports on the addition of Kristen Martin to Newcastle Limited as director of retail leasing.,Chicago Real Estate Bisnow reports on the addition of Kristen Martin to Newcastle Limited as director of retail leasing.,,
Article,Plan Commission signs off on Gold Coast rental tower,"March 25, 2013",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,Crain's covers the Chicago Paln Commssion's approval of Newcastle's plans to develop a 36-story apartment tower at the corner of State and Chestnut Streets in the Gold Coast neighborhood.  ,Crain's covers the Chicago Paln Commssion's approval of Newcastle's plans to develop a 36-story apartment tower at the corner of State and Chestnut Streets in the Gold Coast neighborhood.  ,,
Article,Newcastle plans 35-story apartment tower in Gold Coast,"December 11, 2012","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Micah Maidenberg from Crain's Real Estate Daily interviwed Peter Tortorello, Senior Vice President at Newcastle Limited, about the firm's planned 35-story, 367-unit apartment tower in Chicago's Gold Coast neighborhood.","Micah Maidenberg from Crain's Real Estate Daily interviwed Peter Tortorello, Senior Vice President at Newcastle Limited, about the firm's planned 35-story, 367-unit apartment tower in Chicago's Gold Coast neighborhood.",,
Article,Newcastle spends $7 million on Lakeview retail building,"November 30, 2012",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,"Chicago-based investor Newcastle Ltd. said it paid about $7 million for a 12,500-square-foot retail building at 3300 N. Broadway in Lakeview. The building is leased to seven tenants, including Caribou Coffee, Homemade Pizza and an Asian restaurant called Ping Pong, said Newcastle Vice President Brennan Hitpas. About 2,200 square feet, or 14 percent, of the building is vacant. Newcastle likes the property's street frontage and Lakeview's “strong demographics, great density and a great mix of national and local retail,” Mr. Hitpas said. Newcastle bought the building from Chicago-based First Development Corp. James Persino, principal at the firm, declined to comment.","Chicago-based investor Newcastle Ltd. said it paid about $7 million for a 12,500-square-foot retail building at 3300 N. Broadway in Lakeview. The building is leased to seven tenants, including Caribou Coffee, Homemade Pizza and an Asian restaurant called Ping Pong, said Newcastle Vice President Brennan Hitpas. About 2,200 square feet, or 14 percent, of the building is vacant. Newcastle likes the property's street frontage and Lakeview's “strong demographics, great density and a great mix of national and local retail,” Mr. Hitpas said. Newcastle bought the building from Chicago-based First Development Corp. James Persino, principal at the firm, declined to comment.",,
Article,Newcastle plans Gold Coast residential project,"October 9, 2012","By Micah Maidenberg, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business",Micah Maidenberg of Crain's Real Estate Daily reports on Newcastle's plans for a residential project near Chestnut and State in Chicago's Gold Coast neighborhood.,Micah Maidenberg of Crain's Real Estate Daily reports on Newcastle's plans for a residential project near Chestnut and State in Chicago's Gold Coast neighborhood.,,
Article,Closer Highlights: Newcastle Limited,"August 21, 2012","By Marissa Oberlander, Chicago Real Estate Bisnow","Marissa Oberlander of Crain's Chicago Business reports on Newcastle Limited's refinancing of six retail properteis with a loan from Guggenheim Life &amp; Annuity Co.  Properties include 6 North Michigan Avneue, 33 South Wabash, 5343 North Broadway, 846 West Armitage, 953 West Belmont and 227 East Ontario.  ","Marissa Oberlander of Crain's Chicago Business reports on Newcastle Limited's refinancing of six retail properteis with a loan from Guggenheim Life &amp; Annuity Co.  Properties include 6 North Michigan Avneue, 33 South Wabash, 5343 North Broadway, 846 West Armitage, 953 West Belmont and 227 East Ontario.  ",,
Article,Residential News: Newcastle Limited has acquired two multi-family properties,"August 1, 2012",By Northern Illinois Real Estate Magazine,Northern Illinois Real Estate Magazine reports on Newcastle's recent acquisition of 718 and 725 West Irving Park Road in its Residential News section (page 20).,Northern Illinois Real Estate Magazine reports on Newcastle's recent acquisition of 718 and 725 West Irving Park Road in its Residential News section (page 20).,,
Article,The Deal Sheet: Irving Properties,"July 16, 2012",By Real Estate Bisnow,Newcastle Limited acquired 115 courtyard apartments at 718 and 725 West Irving Park Road for $16.5 million.,Newcastle Limited acquired 115 courtyard apartments at 718 and 725 West Irving Park Road for $16.5 million.,,
Article,Two North Side Apartment Buildings Sell for $16M,"July 12, 2012",By GlobeSt.com,GlobeSt.com covers Newcastle Limited's purchase of 718 and 725 West Irving Park Road in the Lakeview neighborhood for $16.5.,GlobeSt.com covers Newcastle Limited's purchase of 718 and 725 West Irving Park Road in the Lakeview neighborhood for $16.5.,,
Article,Newcastle buys apartments in $16.5 million deal,"July 10, 2012",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,Crain's reports on Newcastle buying two North Side courtyard apartment buildings with 115 units in a deal that values the properties at $16.5 million. The Chicago-based real estate firm bought the properties at 718 and 725 W. Irving Park Road.  ,Crain's reports on Newcastle buying two North Side courtyard apartment buildings with 115 units in a deal that values the properties at $16.5 million. The Chicago-based real estate firm bought the properties at 718 and 725 W. Irving Park Road.  ,,
Article,Newcastle buys bank-owned buildings in Bucktown,"June 29, 2012","By Marissa Oberlander, ChicagoRealEstateDaily.com Powered by Crain's Chicago Business","Crain's Chicago Business reports on Newcastle Limited's acquistion of two properties in Bucktown from Bridgeview Bank Group for $9.9 million. 1542 North Damen, a 13,500-square-foot mixed-use property and 2010 West Pierce, a 18-unit apartment building","Crain's Chicago Business reports on Newcastle Limited's acquistion of two properties in Bucktown from Bridgeview Bank Group for $9.9 million. 1542 North Damen, a 13,500-square-foot mixed-use property and 2010 West Pierce, a 18-unit apartment building",,
Article,Lakeview building sells for $4.6 million,"June 19, 2012",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,Newcastle acquired 953 West Belmont Avenue for $4.6 million as reported by Crain's Chicago Business.  The two-story building is situated at the corner of Belmont and Sheffield in the Lakeview neighborhood.,Newcastle acquired 953 West Belmont Avenue for $4.6 million as reported by Crain's Chicago Business.  The two-story building is situated at the corner of Belmont and Sheffield in the Lakeview neighborhood.,,
Article,The Deal Sheet: 1640 N. Damen,"June 4, 2012",By Real Estate Bisnow,"Newcastle Ltd repped by Cushman &amp; Wakefield's Luke Molloy, acquired the 10k SF 1640 N Damen Ave (retail and apartments) in Bucktown for $3.2M. The deal was a sale-leaseback.","Newcastle Ltd repped by Cushman &amp; Wakefield's Luke Molloy, acquired the 10k SF 1640 N Damen Ave (retail and apartments) in Bucktown for $3.2M. The deal was a sale-leaseback.",,
Article,Newcastle buys in Bucktown,"May 31, 2012",By ChicagoRealEstateDaily.com Powered by Crain's Chicago Business,"Crain's Chicago Business reported that Newcastle paid $3.2 million for its second acquisition in Bucktown, a 10,000-square-foot mixed-use property at 1640 N. Damen Ave. The Chicago-based real estate firm bought the building from a venture of Three Headed Productions, which owns Cans Bar &amp; Canteen, the bar and restaurant leasing the building’s retail space through 2013, says Brennan Hitpas, vice president of Newcastle.","Crain's Chicago Business reported that Newcastle paid $3.2 million for its second acquisition in Bucktown, a 10,000-square-foot mixed-use property at 1640 N. Damen Ave. The Chicago-based real estate firm bought the building from a venture of Three Headed Productions, which owns Cans Bar &amp; Canteen, the bar and restaurant leasing the building’s retail space through 2013, says Brennan Hitpas, vice president of Newcastle.",,
Article,Rents rebound in Bucktown and Wicker Park,"March 5, 2012","By Mary E. Morrison, ChicagoBusiness.com Powered by Crain's","Brennan Hitpas, Newcastle Limited's Vice Presdient responsible for retail acquisitions, talks to Crain's Chicago Business about rents in Bucktown and Wicker Park.","Brennan Hitpas, Newcastle Limited's Vice Presdient responsible for retail acquisitions, talks to Crain's Chicago Business about rents in Bucktown and Wicker Park.",,
